Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2019-06-06,125.4,125.8,120.4,124.6,-0.8,10323.0,335.0,1270.47
2019-06-05,127.6,128.0,125.6,125.6,-0.95,2997.0,92.0,380.75
2019-06-04,129.0,129.4,124.2,126.8,-1.86,15193.0,353.0,1907.92
2019-06-03,134.0,135.0,131.0,133.0,-1.34,5984.0,207.0,795.41
2019-05-31,135.6,136.0,131.6,134.8,-0.15,4777.0,181.0,636.65
2019-05-30,131.8,135.0,129.0,135.0,2.43,7980.0,187.0,1060.51
2019-05-29,130.8,132.6,129.0,131.8,-0.9,3575.0,138.0,465.58
2019-05-28,133.8,133.8,127.8,133.0,-0.15,8691.0,247.0,1137.96
2019-05-27,128.8,133.8,128.8,133.2,3.58,7447.0,264.0,982.6
2019-05-24,122.0,130.0,120.4,128.6,4.89,22487.0,613.0,2833.19
2019-05-23,133.8,133.8,121.6,122.6,-6.41,18434.0,529.0,2326.42
2019-05-22,129.0,134.4,117.2,131.0,-0.3,57798.0,1084.0,7268.81
2019-05-21,130.0,137.8,127.0,131.4,0.77,25269.0,619.0,3332.53
2019-05-20,143.0,143.0,130.0,130.4,-8.81,30390.0,893.0,4064.54
2019-05-17,146.6,146.6,141.2,143.0,-2.46,11606.0,394.0,1666.0
2019-05-16,143.8,149.0,143.8,146.6,3.39,21594.0,597.0,3166.78
2019-05-15,135.0,142.8,134.0,141.8,5.82,18998.0,428.0,2657.69
2019-05-14,132.4,135.0,129.2,134.0,1.36,8536.0,218.0,1134.75
2019-05-13,136.0,136.0,130.2,132.2,-2.79,5924.0,209.0,793.94
2019-05-10,137.0,138.6,132.0,136.0,0.74,12631.0,343.0,1718.57
2019-05-09,132.4,142.0,132.4,135.0,3.05,47459.0,975.0,6499.23
2019-05-08,122.0,132.0,121.0,131.0,7.03,24015.0,590.0,3087.23
2019-05-07,128.0,128.0,122.4,122.4,-3.77,9079.0,221.0,1138.04
2019-05-06,127.4,127.8,123.2,127.2,-0.78,12228.0,427.0,1537.97
2019-05-02,125.0,129.0,125.0,128.2,3.39,8887.0,305.0,1131.99
2019-04-30,122.8,125.0,122.8,124.0,-0.64,7166.0,203.0,886.09
2019-04-29,126.6,126.8,122.2,124.8,-1.42,11337.0,330.0,1416.62
2019-04-26,123.0,126.8,123.0,126.6,3.77,20255.0,615.0,2536.48
2019-04-25,120.0,122.0,119.0,122.0,2.01,15435.0,231.0,1854.22
2019-04-24,120.0,122.4,117.8,119.6,-0.33,17973.0,391.0,2157.36
2019-04-23,115.4,120.0,115.2,120.0,4.71,13815.0,309.0,1630.45
2019-04-18,110.6,114.6,108.0,114.6,3.43,15142.0,328.0,1679.87
2019-04-17,112.4,112.8,109.4,110.8,-1.6,9630.0,271.0,1070.25
2019-04-16,115.0,115.0,111.2,112.6,-2.43,8717.0,278.0,985.13
2019-04-15,117.0,117.0,113.6,115.4,-0.35,5331.0,163.0,612.49
2019-04-12,116.8,117.4,115.6,115.8,0.7,3716.0,141.0,432.49
2019-04-11,117.0,117.0,114.4,115.0,-1.71,10574.0,300.0,1219.06
2019-04-10,118.8,118.8,116.6,117.0,-1.35,11675.0,232.0,1366.93
2019-04-09,119.0,119.6,117.0,118.6,-0.34,9020.0,230.0,1066.57
2019-04-08,118.0,119.0,115.0,119.0,0.85,10960.0,314.0,1279.4
2019-04-05,120.2,122.6,116.0,118.0,4.06,49271.0,1002.0,5872.79
2019-04-04,117.8,117.8,113.2,113.4,-3.57,22655.0,591.0,2612.32
2019-04-03,114.2,118.4,113.6,117.6,5.0,32819.0,847.0,3806.63
2019-04-02,106.0,114.8,105.8,112.0,6.26,45164.0,809.0,4948.86
2019-04-01,104.0,108.6,102.4,105.4,3.33,30221.0,599.0,3198.87
2019-03-29,102.0,102.0,100.94,102.0,0.35,10842.0,181.0,1099.54
2019-03-28,101.0,102.5,100.0,101.64,1.13,22683.0,260.0,2302.39
2019-03-27,98.48,101.78,98.48,100.5,2.45,8741.0,184.0,878.13
2019-03-26,97.8,98.5,96.5,98.1,0.21,4009.0,129.0,391.72
2019-03-25,98.62,99.0,95.0,97.89,-2.11,19984.0,454.0,1931.93
2019-03-22,102.0,105.0,99.0,100.0,-3.85,22334.0,470.0,2260.44
2019-03-21,105.0,105.3,102.0,104.0,-0.48,8259.0,227.0,857.89
2019-03-20,102.7,104.8,102.0,104.5,3.47,15560.0,345.0,1612.1
2019-03-19,99.0,103.88,97.73,101.0,2.02,14395.0,327.0,1441.59
2019-03-18,99.1,100.0,97.3,99.0,0.37,10302.0,230.0,1021.04
2019-03-15,99.3,102.1,98.45,98.64,-0.36,20958.0,378.0,2102.23
2019-03-14,96.44,99.0,96.44,99.0,3.18,7265.0,257.0,713.44
2019-03-13,96.0,96.45,95.3,95.95,0.68,4827.0,146.0,463.58
2019-03-12,92.5,97.9,92.06,95.3,3.59,9354.0,255.0,898.13
2019-03-11,91.2,92.9,90.12,92.0,0.88,2275.0,89.0,208.18
2019-03-08,94.0,94.9,91.2,91.2,-3.9,3582.0,114.0,333.4
2019-03-07,95.5,95.9,94.11,94.9,-0.63,2956.0,108.0,280.89
2019-03-06,93.1,96.5,93.1,95.5,1.62,9350.0,233.0,891.48
2019-03-05,93.4,93.99,92.35,93.98,0.62,3920.0,94.0,366.16
2019-03-04,93.5,93.5,90.1,93.4,-0.11,12377.0,265.0,1141.22
2019-03-01,91.98,95.0,91.86,93.5,2.97,14959.0,317.0,1403.96
2019-02-28,87.0,90.9,87.0,90.8,2.55,14534.0,253.0,1300.05
2019-02-27,88.6,89.2,88.0,88.54,-0.46,8652.0,100.0,763.74
2019-02-26,89.0,89.2,88.0,88.95,-0.06,2795.0,76.0,247.98
2019-02-25,88.45,89.6,88.0,89.0,0.68,10352.0,136.0,920.55
2019-02-22,87.77,88.4,87.3,88.4,0.72,5528.0,102.0,487.47
2019-02-21,86.8,88.0,86.0,87.77,1.59,4856.0,120.0,423.7
2019-02-20,84.9,86.5,84.2,86.4,1.75,3814.0,85.0,327.92
2019-02-19,86.5,86.5,84.71,84.91,-1.27,3074.0,85.0,261.62
2019-02-15,83.5,84.5,83.0,84.0,-0.46,2271.0,93.0,189.55
2019-02-14,85.2,85.2,83.0,84.39,-0.01,2843.0,72.0,239.9
2019-02-13,83.7,85.83,83.7,84.4,0.23,2130.0,63.0,180.37
2019-02-12,82.3,85.5,82.3,84.21,2.57,8463.0,154.0,712.64
2019-02-11,80.12,83.3,80.01,82.1,-0.85,15216.0,294.0,1233.22
2019-02-08,83.5,84.1,82.62,82.8,-2.59,11201.0,252.0,933.07
2019-02-07,88.26,88.5,84.0,85.0,-3.41,19167.0,389.0,1634.04
2019-02-06,90.0,90.9,87.1,88.0,-1.79,10853.0,147.0,955.02
2019-02-05,91.0,91.0,89.16,89.6,-0.33,4938.0,105.0,446.32
2019-02-04,87.0,91.2,87.0,89.9,3.81,11170.0,186.0,1000.59
2019-02-01,86.71,87.7,86.0,86.6,0.0,3138.0,98.0,271.56
2019-01-31,88.5,88.5,86.0,86.6,-1.04,4102.0,144.0,355.51
2019-01-30,88.5,89.04,87.0,87.51,-1.12,4546.0,114.0,400.2
2019-01-29,87.66,90.0,87.66,88.5,0.18,1894.0,78.0,167.8
2019-01-28,88.4,89.9,87.5,88.34,-0.07,3976.0,108.0,353.57
2019-01-25,91.5,93.88,85.1,88.4,-3.39,11317.0,273.0,1006.27
2019-01-24,93.0,93.0,91.3,91.5,-1.94,3641.0,106.0,336.21
2019-01-23,90.0,94.9,90.0,93.31,4.14,14034.0,308.0,1309.64
2019-01-22,91.0,91.0,88.0,89.6,-2.24,4265.0,107.0,382.45
2019-01-21,92.0,92.0,91.05,91.65,-0.05,2069.0,52.0,189.0
2019-01-18,93.3,93.75,91.5,91.7,-1.29,6266.0,187.0,578.63
2019-01-17,94.5,94.69,92.0,92.9,-1.17,9441.0,256.0,880.7
2019-01-16,91.5,94.4,91.5,94.0,3.18,17795.0,315.0,1654.27
2019-01-15,88.01,91.5,87.71,91.1,2.37,7752.0,179.0,693.41
2019-01-14,89.8,90.59,86.6,88.99,-0.01,6375.0,156.0,561.57
2019-01-11,88.99,91.48,88.1,89.0,0.0,10845.0,267.0,973.9
2019-01-10,90.8,90.8,88.3,89.0,-2.2,6253.0,261.0,558.15
2019-01-09,90.02,91.0,87.55,91.0,1.11,14555.0,476.0,1303.49
2019-01-08,88.0,91.93,87.0,90.0,7.91,42267.0,838.0,3769.66
2019-01-07,83.1,84.4,81.81,83.4,1.09,11437.0,270.0,954.98
2019-01-04,77.02,82.76,77.02,82.5,6.99,11159.0,190.0,890.44
2019-01-03,78.49,78.61,77.1,77.11,-1.91,3823.0,111.0,298.62
2019-01-02,79.0,79.99,78.16,78.61,-1.74,9801.0,90.0,774.33
2018-12-28,77.5,80.0,75.5,80.0,3.63,9728.0,220.0,753.34
2018-12-20,78.8,79.5,78.0,78.12,-2.41,5385.0,169.0,422.49
2018-12-19,79.0,81.2,78.22,80.05,1.59,6404.0,147.0,507.32
2018-12-18,80.0,80.0,78.0,78.8,-1.81,3353.0,98.0,264.37
2018-12-17,81.39,82.0,79.0,80.25,-1.41,7303.0,185.0,584.27
2018-12-14,83.1,84.2,80.35,81.4,-2.05,4794.0,160.0,394.06
2018-12-13,79.0,85.5,78.0,83.1,6.54,28620.0,647.0,2369.44
2018-12-12,78.0,78.69,76.76,78.0,0.0,4932.0,120.0,383.1
2018-12-11,78.0,78.5,76.25,78.0,1.3,5608.0,178.0,433.98
2018-12-10,78.0,79.0,77.0,77.0,-3.74,8577.0,237.0,668.21
2018-12-07,78.97,82.3,78.97,79.99,2.55,10173.0,290.0,819.0
2018-12-06,80.0,80.0,77.4,78.0,-3.7,18116.0,357.0,1417.12
2018-12-05,81.48,81.7,79.4,81.0,-1.94,10827.0,234.0,875.44
2018-12-04,84.3,84.3,80.3,82.6,-0.51,8489.0,206.0,694.22
2018-12-03,88.2,89.8,81.02,83.02,-5.66,19939.0,588.0,1681.29
2018-11-30,88.0,89.2,87.5,88.0,-0.45,5267.0,118.0,464.81
2018-11-29,86.8,89.0,86.8,88.4,2.79,11026.0,243.0,969.26
2018-11-28,84.4,86.9,84.4,86.0,2.38,9936.0,203.0,848.85
2018-11-27,84.5,85.0,83.0,84.0,-0.59,2641.0,84.0,221.1
2018-11-26,83.2,85.8,83.0,84.5,1.44,5741.0,174.0,485.46
2018-11-23,86.0,87.5,83.3,83.3,-0.85,10886.0,279.0,934.9
2018-11-22,76.6,84.01,75.5,84.01,11.12,17971.0,373.0,1460.27
2018-11-21,76.9,77.0,73.8,75.6,-3.14,29694.0,614.0,2246.9
2018-11-20,81.0,82.88,77.8,78.05,-4.36,10529.0,266.0,841.96
2018-11-19,83.5,84.94,77.6,81.61,-1.08,8783.0,333.0,714.56
